areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000009,Trafford,ltla,2023-12-09,00_04,0,1,7.1
E08000009,Trafford,ltla,2023-12-09,00_59,2,9,4.9
E08000009,Trafford,ltla,2023-12-09,05_09,0,0,0
E08000009,Trafford,ltla,2023-12-09,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-09,15_19,0,0,0
E08000009,Trafford,ltla,2023-12-09,20_24,0,0,0
E08000009,Trafford,ltla,2023-12-09,25_29,0,0,0
E08000009,Trafford,ltla,2023-12-09,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-09,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-09,40_44,1,2,11.6
E08000009,Trafford,ltla,2023-12-09,45_49,0,3,17.6
E08000009,Trafford,ltla,2023-12-09,50_54,1,2,11.8
E08000009,Trafford,ltla,2023-12-09,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-09,60+,4,12,22
E08000009,Trafford,ltla,2023-12-09,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-12-09,65_69,0,1,9.3
E08000009,Trafford,ltla,2023-12-09,70_74,1,3,28.1
E08000009,Trafford,ltla,2023-12-09,75_79,2,2,25.7
E08000009,Trafford,ltla,2023-12-09,80_84,0,2,33.3
E08000009,Trafford,ltla,2023-12-09,85_89,1,2,52.9
E08000009,Trafford,ltla,2023-12-09,90+,0,1,41.6
E08000009,Trafford,ltla,2023-12-09,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-08,00_04,0,1,7.1
E08000009,Trafford,ltla,2023-12-08,00_59,2,9,4.9
E08000009,Trafford,ltla,2023-12-08,05_09,0,0,0
E08000009,Trafford,ltla,2023-12-08,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-08,15_19,0,1,7.3
E08000009,Trafford,ltla,2023-12-08,20_24,0,0,0
E08000009,Trafford,ltla,2023-12-08,25_29,0,0,0
E08000009,Trafford,ltla,2023-12-08,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-08,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-08,40_44,0,1,5.8
E08000009,Trafford,ltla,2023-12-08,45_49,1,3,17.6
E08000009,Trafford,ltla,2023-12-08,50_54,1,2,11.8
E08000009,Trafford,ltla,2023-12-08,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-08,60+,2,8,14.7
E08000009,Trafford,ltla,2023-12-08,60_64,1,1,7.7
E08000009,Trafford,ltla,2023-12-08,65_69,1,1,9.3
E08000009,Trafford,ltla,2023-12-08,70_74,0,2,18.7
E08000009,Trafford,ltla,2023-12-08,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-08,80_84,0,2,33.3
E08000009,Trafford,ltla,2023-12-08,85_89,0,1,26.4
E08000009,Trafford,ltla,2023-12-08,90+,0,1,41.6
E08000009,Trafford,ltla,2023-12-08,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-07,00_04,0,1,7.1
