date,uniqueCasePositivityBySpecimenDateRollingSum
2023-12-04,6.9
2023-12-03,7.4
2023-12-02,7.7
2023-12-01,8.1
2023-11-30,8.1
2023-11-29,9.3
2023-11-28,10.1
2023-11-27,10.7
2023-11-26,7.6
2023-11-25,8.3
2023-11-24,9.9
2023-11-23,8.8
2023-11-22,8.5
2023-11-21,8.1
2023-11-20,8.1
2023-11-19,7.9
2023-11-18,7.5
2023-11-17,7.4
2023-11-16,8.2
2023-11-15,10
2023-11-14,11.3
2023-11-13,9.3
2023-11-12,8.7
2023-11-11,7.3
2023-11-10,7.6
2023-11-09,9.7
2023-11-08,9.8
2023-11-07,9.6
2023-11-06,10.2
2023-11-05,10.8
2023-11-04,9.2
2023-11-03,8.7
2023-11-02,7.7
2023-11-01,7.3
2023-10-31,6.9
2023-10-30,7.9
2023-10-29,8.8
2023-10-28,10.8
2023-10-27,11.5
2023-10-26,11.5
2023-10-25,10.4
2023-10-24,9.4
2023-10-23,10.6
2023-10-22,12.4
2023-10-21,11.1
2023-10-20,11.9
2023-10-19,12.5
2023-10-18,12.8
2023-10-17,12.4
2023-10-16,12.7
2023-10-15,12
2023-10-14,13.4
2023-10-13,12.1
2023-10-12,11.1
2023-10-11,11.6
2023-10-10,13.4
2023-10-09,16
2023-10-08,17.4
2023-10-07,15.3
2023-10-06,15.5
2023-10-05,17.6
2023-10-04,16.8
2023-10-03,14.9
2023-10-02,14.9
2023-10-01,14.4
2023-09-30,13
2023-09-29,15
2023-09-28,15.2
2023-09-27,16.4
2023-09-26,17.1
2023-09-25,14.1
2023-09-24,12.7
2023-09-23,12.7
2023-09-22,9.7
2023-09-21,9.1
2023-09-20,9.7
2023-09-19,7.5
2023-09-18,8.8
2023-09-17,9
2023-09-16,10.4
2023-09-15,9.2
2023-09-14,9
2023-09-13,10.7
2023-09-12,10.3
2023-09-11,12.4
2023-09-10,10.9
2023-09-09,12.4
2023-09-08,13.4
2023-09-07,11.7
2023-09-06,12.5
2023-09-05,10.9
2023-09-04,10.2
2023-09-03,11.6
2023-09-02,12.2
2023-09-01,11.2
2023-08-31,10.4
2023-08-30,10.7
2023-08-29,10.9
2023-08-28,11.1
2023-08-27,8.7
2023-08-26,5.8
2023-08-25,5.9
2023-08-24,6.9
2023-08-23,6
2023-08-22,5.2
2023-08-21,5.4
2023-08-20,5.9
2023-08-19,6.1
2023-08-18,6.5
2023-08-17,6.2
2023-08-16,4.8
2023-08-15,5.1
2023-08-14,3.6
2023-08-13,4.4
2023-08-12,4.8
2023-08-11,7.3
2023-08-10,8.5
2023-08-09,8.2
2023-08-08,7.6
2023-08-07,9.9
2023-08-06,10.6
2023-08-05,11.3
2023-08-04,14
2023-08-03,18.6
2023-08-02,13.3
2023-08-01,13.8
2023-07-31,12.5
2023-07-30,11.9
2023-07-29,10.4
2023-07-28,8.8
2023-07-27,8.8
2023-07-26,8.4
2023-07-25,6.9
2023-07-24,6.8
2023-07-23,5.7
2023-07-22,5.9
2023-07-21,5.3
2023-07-20,5.7
2023-07-19,3.8
2023-07-18,4.1
2023-07-17,4.1
2023-07-16,4.5
2023-07-15,3.8
2023-07-14,5.6
2023-07-13,6
2023-07-12,3
2023-07-11,4
2023-07-10,4.8
2023-07-09,3.2
2023-07-08,2.9
2023-07-07,2.3
2023-07-06,2.2
2023-07-05,2.2
2023-07-04,2.3
2023-07-03,2.2
2023-07-02,1.6
2023-07-01,1.7
2023-06-30,1.7
2023-06-29,2.5
2023-06-28,3
2023-06-27,1.6
2023-06-26,2.2
2023-06-25,1.4
2023-06-24,4.2
2023-06-23,4.2
2023-06-22,4.9
2023-06-21,4.6
2023-06-20,6
2023-06-19,8.3
2023-06-18,8.8
2023-06-17,5.3
2023-06-16,5.9
2023-06-15,5.7
2023-06-14,5.9
2023-06-13,4.5
2023-06-12,4.8
2023-06-11,4
2023-06-10,4.3
2023-06-09,4.9
2023-06-08,5.9
2023-06-07,5.7
2023-06-06,5.9
2023-06-05,6
2023-06-04,5.3
2023-06-03,6.3
2023-06-02,6.2
2023-06-01,5.2
2023-05-31,5.6
2023-05-30,4.7
2023-05-29,4.5
2023-05-28,5.9
2023-05-27,4.3
2023-05-26,5.2
2023-05-25,5.6
2023-05-24,5.3
2023-05-23,4
2023-05-22,5.2
2023-05-21,4.6
2023-05-20,3.8
2023-05-19,4.1
2023-05-18,5
2023-05-17,5.3
2023-05-16,6.5
2023-05-15,5.6
2023-05-14,6
2023-05-13,7.3
2023-05-12,7.7
2023-05-11,6.4
2023-05-10,5.7
2023-05-09,5.8
2023-05-08,5.4
2023-05-07,6.1
2023-05-06,5.3
2023-05-05,4.6
2023-05-04,6.2
2023-05-03,7.7
2023-05-02,7.4
2023-05-01,7.1
2023-04-30,7.4
2023-04-29,8
2023-04-28,8.7
2023-04-27,7.6
2023-04-26,7.7
2023-04-25,8.6
2023-04-24,10.3
2023-04-23,11.4
2023-04-22,10.3
2023-04-21,12.4
2023-04-20,12.4
2023-04-19,10.6
2023-04-18,10.2
2023-04-17,10.9
2023-04-16,9.4
2023-04-15,10.9
2023-04-14,10.6
2023-04-13,11.9
2023-04-12,13.5
2023-04-11,12.4
2023-04-10,14.3
2023-04-09,11.9
2023-04-08,10.8
2023-04-07,9.6
2023-04-06,8.8
2023-04-05,10.5
2023-04-04,8
